instruction,reference,prediction,latency_sec
How many people are affected by type 1 diabetes ?,"Type 1 diabetes occurs in 10 to 20 per 100,000 people per year in the United States. By age 18, approximately 1 in 300 people in the United States develop type 1 diabetes. The disorder occurs with similar frequencies in Europe, the United Kingdom, Canada, and New Zealand. Type 1 diabetes occurs much less frequently in Asia and South America, with reported incidences as low as 1 in 1 million per year. For unknown reasons, during the past 20 years the worldwide incidence of type 1 diabetes has been increasing by 2 to 5 percent each year. Type 1 diabetes accounts for 5 to 10 percent of cases of diabetes worldwide. Most people with diabetes have type 2 diabetes, in which the body continues to produce insulin but becomes less able to use it.","Type 1 diabetes is the most common form of diabetes in children and adolescents. It affects about 40,000 to 50,000 young adults in the United States. Type 1 diabetes occurs more frequently among Caucasians than other racial or ethnic groups. The condition also tends to occur more often in males than females.",4.494955592999986
what research (or clinical trials) is being done for Leukemia ?,"Researchers are conducting clinical trials in many parts of the country. Clinical trials test an intervention such as a drug, therapy, medical device, or behavior in many people to see if it is safe and effective. Clinical trials already have led to advances, and researchers continue to search for more effective ways to treat and diagnose leukemia. They are studying various drugs, immunotherapy, targeted therapies, and other types of treatments. They are also studying the effectiveness of using combinations of treatments. Most importantly, researchers are gaining a greater understanding of the genes that are mutated in many types of leukemia and are developing targeted treatments to directly attack the mutations. One prime example is in acute myeloid leukemia (AML) where researchers have identified several genes that predict better or worse outcomes and are working to develop drugs targeted at these genes. Drug Research The drug imatinib (Gleevec) is important in the treatment of chronic myeloid leukemia. Imatinib targets an abnormal protein that is present in most leukemia cells. By blocking the abnormal protein, imatinib kills the leukemia cells, but it does not kill normal cells. However, imatinib stops working in some people with leukemia because the cells become resistant. Fortunately, two drugs, dasatinib (Sprycel) and nilotinib (Tasigna), are now used to treat people who stop responding to imatinib. These drugs work against the same abnormal protein targeted by imatinib, but in different ways. Immunotherapy Immunotherapy is a treatment that uses immune cells or antibodies to fight leukemia or stop it from getting worse. The idea is to zero in on leukemia cells so the treatment is less toxic to normal cells. Recently developed immunotherapies are showing real promise in a number of forms of leukemia. Vaccine Research Leukemia vaccines are not vaccines in the way that most people think of them. Unlike most vaccines, which help prevent diseases, leukemia vaccines are used to treat someone who already has cancer. A vaccine introduces a molecule called an antigen into the body. The immune system recognizes the antigen as a foreign invader and attacks it. Gene Therapy Gene therapy -- replacing, manipulating, or supplementing nonfunctional genes with healthy genes -- is being explored for treatment of leukemia. It is being studied as a way to stimulate a patient's immune system to kill leukemia cells and also to interfere with the production of proteins that cause cells to become cancerous. Learn more about ongoing leukemia research.","New types of treatment are being tested in clinical trials. Information about clinical trials is available from the NCI website. Patients may want to think about taking part in a clinical trial. For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment. Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment. Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward. Patients can enter clinical trials before, during, or after starting their cancer treatment. Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment. Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for",15.880738311999949
What is (are) Shaken Baby Syndrome ?,"Shaken baby syndrome is a type of inflicted traumatic brain injury that happens when a baby is violently shaken. A baby has weak neck muscles and a large, heavy head. Shaking makes the fragile brain bounce back and forth inside the skull and causes bruising, swelling, and bleeding, which can lead to permanent, severe brain damage or death. The characteristic injuries of shaken baby syndrome are subdural hemorrhages (bleeding in the brain), retinal hemorrhages (bleeding in the retina), damage to the spinal cord and neck, and fractures of the ribs and bones. These injuries may not be immediately noticeable. Symptoms of shaken baby syndrome include extreme irritability, lethargy, poor feeding, breathing problems, convulsions, vomiting, and pale or bluish skin. Shaken baby injuries usually occur in children younger than 2 years old, but may be seen in children up to the age of 5.","Shaken baby syndrome (SBS) is a serious brain injury that can result from shaking an infant or young child. The most common cause of SBS is abuse, but it may also occur in cases where the child has a medical condition such as cerebral palsy or epilepsy. Symptoms include - Seizures - Slurred speech and difficulty speaking - Loss of consciousness - Headache - Vomiting - Changes in behavior - Problems with balance - Vision problems - Hearing loss - Learning disabilities",6.093130160999976
What are the complications of Neurological Complications of AIDS ?,"AIDS is primarily an immune system disorder caused by the human immunodeficiency virus (HIV), but it can also affect the nervous system. HIV does not appear to directly invade nerve cells but it jeopardizes their health and function, causing symptoms such as confusion, forgetfulness, behavioral changes, headaches, progressive weakness and loss of sensation in the arms and legs, cognitive motor impairment, or damage to the peripheral nerves. Other complications that can occur as a result of HIV infection or the drugs used to treat it include pain, seizures, shingles, spinal cord problems, lack of coordination, difficult or painful swallowing, anxiety disorder, depression, fever, vision loss, gait disorders, destruction of brain tissue, and coma. Other AIDS-related nervous system disorders may be caused by certain cancers or by illnesses that would not otherwise affect people with healthy immune systems. Among the most common neurological complications are: AIDS dementia complex, causing symptoms such as encephalitis (inflammation of the brain), behavioral changes, and a gradual decline in cognitive function; central nervous system lymphomas, cancerous tumors that either begin in the brain or result from a cancer that has spread from another site in the body; cryptococcal meningitis; cytomegalovirus infections; herpes virus infections; neuropathy; neurosyphilis; progressive multifocal leukoencephalopathy (PML); and psychological and neuropsychiatric disorders.","The most common neurological complication in people with HIV is encephalopathy, which can cause confusion and memory loss. Other possible problems include - seizures - meningitis - brain tumors - stroke - peripheral neuropathy (nerve damage) - hearing loss - vision loss - dementia - Guillain-Barr syndrome - optic neuritis - myelopathy - peripheral neuropathy - hearing loss - vision loss - dementia",5.008952755999985
What is (are) CHMP2B-related frontotemporal dementia ?,"CHMP2B-related frontotemporal dementia is a progressive brain disorder that affects personality, behavior, and language. The symptoms of this disorder usually become noticeable in a person's fifties or sixties, and affected people survive about 3 to 21 years after the appearance of symptoms. Changes in personality and behavior are the most common early signs of CHMP2B-related frontotemporal dementia. These changes include inappropriate emotional responses, restlessness, loss of initiative, and neglect of personal hygiene. Affected individuals may overeat sweet foods or place non-food items into their mouths (hyperorality). Additionally, it may become difficult for affected individuals to interact with others in a socially appropriate manner. They increasingly require help with personal care and other activities of daily living. Many people with CHMP2B-related frontotemporal dementia develop progressive problems with speech and language (aphasia). They may have trouble speaking, although they can often understand others' speech and written text. Affected individuals may also have difficulty using numbers (dyscalculia). In the later stages of the disease, many completely lose the ability to communicate. Several years after signs and symptoms first appear, some people with CHMP2B-related frontotemporal dementia develop problems with movement. These movement abnormalities include rigidity, tremors, uncontrolled muscle tensing (dystonia), and involuntary muscle spasms (myoclonus). As the disease progresses, most affected individuals become unable to walk.","CHMP2B-related frontotemporal dementia is a condition that primarily affects the brain and behavior. This disorder causes problems with language, personality changes, and difficulty thinking abstractly or reasoning logically. The signs and symptoms of this condition usually begin in mid-adulthood; however, they can appear at any age. People with CHMP2B-related frontotemporal dementia have trouble speaking clearly, understanding speech, and expressing themselves. They may also experience difficulties with reading comprehension and writing. Some affected individuals develop an inability to recognize familiar faces. Other features of this condition include impaired judgment, loss of interest in work or hobbies, and social withdrawal. Affected people often become irritable, aggressive, or suspicious. In addition, some individuals with CHMP2B-related frontotemporal dementia have seizures.",10.168936686999928
How to diagnose Gerstmann-Straussler-Scheinker disease ?,"How is Gerstmann-Straussler-Scheinker disease diagnosed? The diagnosis of Gerstmann-Straussler-Scheinker disease (GSS) is based on a combination of the following: Characteristic signs and symptoms Nervous system findings including multiple amyloid plaques (clumps which form in the brain and cause the death of nerve cells and the progressive symptoms of the disease) A family history consistent with autosomal dominant inheritance Identification of a disease-causing mutation of the PRNP gene Genetic testing for at-risk relatives who do not yet have symptoms of GSS is possible if the disease-causing mutation in the family is known. This testing is not useful in predicting age of onset, severity, type of symptoms, or rate of progression. Testing for the disease-causing mutation in the absence of definite symptoms of the disease is called predictive testing.","Is genetic testing available for GSS? Yes. Genetic testing is available for the known mutations in the PRNP gene that cause GSS. The test can be done on a blood sample from an affected individual or family member, and it will show whether they have inherited one of the mutated genes. If you are concerned about your risk of developing GSS, we recommend speaking with a genetics professional who can help guide you through this process.",5.416674718999957
What causes Prevent diabetes problems: Keep your heart and blood vessels healthy ?,"Narrowed blood vessels leave a smaller opening for blood to flow through. Having narrowed blood vessels is like turning on a garden hose and holding your thumb over the opening. The smaller opening makes the water shoot out with more pressure. In the same way, narrowed blood vessels lead to high blood pressure. Other factors, such as kidney problems and being overweight, also can lead to high blood pressure. Many people with diabetes also have high blood pressure. If you have heart, eye, or kidney problems from diabetes, high blood pressure can make them worse. You will see your blood pressure written with two numbers separated by a slash. For example, your reading might be 120/70, said as ""120 over 70."" For most people with diabetes, the target is to keep the first number below 140 and the second number below 80, unless their doctor sets a different target. If you have high blood pressure, ask your doctor how to lower it. Your doctor may ask you to take blood pressure medicine every day. Some types of blood pressure medicine can also help keep your kidneys healthy. You may also be able to control your blood pressure by - eating more fruits and vegetables - eating less salt and high-sodium foods - losing weight if you need to - being physically active - not smoking - limiting alcoholic drinks","High blood pressure is a major risk factor for heart disease. High blood pressure can damage the walls of arteries, which are blood vessels that carry oxygen-rich blood to all parts of the body. Over time, high blood pressure damages the inner lining of these arteries. This process is called atherosclerosis (ATH-er-o-skler-O-sis). Atherosclerosis narrows the arteries and makes it harder for blood to flow through them. It also increases the chance of clots forming in the arteries. Clotting can block blood flow or cause an artery to rupture, leading to a stroke or heart attack.",7.698361636999948
Is congenital mirror movement disorder inherited ?,"In most cases, including those caused by mutations in the DCC or RAD51 gene, this condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the altered gene. Some people who have the altered gene never develop the condition, a situation known as reduced penetrance. Research suggests that in rare cases, this condition may be inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",1.8267963799999052
What are the treatments for Benign multicystic peritoneal mesothelioma ?,How might benign multicystic peritoneal mesothelioma be treated? Surgery to remove the cystic lesions is the only effective treatment for BMPM. Aggressive surgical approaches are often recommended. Hormonal therapy has also been attempted in individual cases with variable degrees of success. Most affected individuals do not undergo chemotherapy and/or radiotherapy because these tumors are usually benign.,"How might benign multicystic peritoneal mesothelioma be treated? Treatment of benign multicystic peritoneal mesothelioma (BMPCM) is based on the size and location of the cysts. The goal of treatment is to remove all of the cysts, but not cause any damage to surrounding organs or tissues. Surgery may involve removal of one or more cysts in a single operation. In some cases, surgery may be followed by chemotherapy.",5.914351968999995
What are the treatments for What I need to know about Kidney Failure and How Its Treated ?,The treatments for kidney failure are - hemodialysis - peritoneal dialysis - a kidney transplant - conservative management,"The goal of treatment is to keep your kidneys working as well as possible. Treatment may include - dialysis, which uses a machine to filter blood - kidney transplantation, in which you receive an organ from another person - medicines that help control high blood pressure or diabetes - diet changes to lower protein intake and reduce potassium levels - surgery to remove scar tissue from the kidneys - medications to treat infections - pain medicine",5.015415191999978
What are the symptoms of Bell's palsy ?,What are the symptoms of Bell's palsy?,"What are the signs and symptoms of Bell's palsy? The Human Phenotype Ontology provides the following list of signs and symptoms for Bell's palsy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of temperature regulation 90% Facial nerve paralysis 90% Hyperhidrosis 90% Muscular hypotonia 90% Nausea and vomiting 90% Seizures 90% Visual impairment 90% Abnormality of the voice 50% Cataract 50% Cognitive impairment 50% Depressed nasal bridge 50% Dry skin 50% Hypertension 50% Incoordination 50% Myopia 50% Ptosis 50% Sleep disturbance 50% Tremor 50% Abnormality of the eye - Autosomal dominant inheritance - Central nervous system demyelination - Decreased serum potassium level - Diabetic neuropathy - Dizziness - Dysarthria - Dysphag",15.990549645999977
How many people are affected by Sandhoff disease ?,"Sandhoff disease is a rare disorder; its frequency varies among populations. This condition appears to be more common in the Creole population of northern Argentina; the Metis Indians in Saskatchewan, Canada; and people from Lebanon.",Sandhoff disease is a rare disorder; its prevalence is unknown.,0.8725539220000655
What causes Congenitally corrected transposition of the great arteries ?,"What causes congenitally corrected transposition of the great arteries? Currently the cause of congenitally corrected transposition of the great arteries is not known. Limited data suggests that air pollutants and hair dye may act as environmental risk factors for this rare defect. Also, having a family history of this heart defect is a risk factor. It has been estimated that the recurrence risk in siblings is around 3% to 5%.","What causes congenital corrected transposition of the great arteries? The exact cause of congenital corrected transposition of the great arteries (CCTGA) is unknown. It appears to be a random event during fetal development, although some researchers believe that it may have an inherited component.",3.562344512999971
How to diagnose Atrial Fibrillation ?,"Atrial fibrillation (AF) is diagnosed based on your medical and family histories, a physical exam, and the results from tests and procedures. Sometimes AF doesn't cause signs or symptoms. Thus, it may be found during a physical exam or EKG (electrocardiogram) test done for another purpose. If you have AF, your doctor will want to find out what is causing it. This will help him or her plan the best way to treat the condition. Specialists Involved Primary care doctors often are involved in the diagnosis and treatment of AF. These doctors include family practitioners and internists. Doctors who specialize in the diagnosis and treatment of heart disease also may be involved, such as: Cardiologists. These are doctors who diagnose and treat heart diseases and conditions. Electrophysiologists. These are cardiologists who specialize in arrhythmias. Medical and Family Histories Your doctor will likely ask questions about your: Signs and symptoms. What symptoms are you having? Have you had palpitations? Are you dizzy or short of breath? Are your feet or ankles swollen (a possible sign of heart failure)? Do you have any chest pain? Medical history. Do you have other health problems, such as a history of heart disease, high blood pressure, lung disease, diabetes, or thyroid problems? Family's medical history. Does anyone in your family have a history of AF? Has anyone in your family ever had heart disease or high blood pressure? Has anyone had thyroid problems? Does your family have a history of other illnesses or health problems? Health habits. Do you smoke or use alcohol or caffeine? Physical Exam Your doctor will do a complete cardiac exam. He or she will listen to the rate and rhythm of your heartbeat and take your pulse and blood pressure reading. Your doctor will likely check for any signs of heart muscle or heart valve problems. He or she will listen to your lungs to check for signs of heart failure. Your doctor also will check for swelling in your legs or feet and look for an enlarged thyroid gland or other signs of hyperthyroidism (too much thyroid hormone). Diagnostic Tests and Procedures EKG An EKG is a simple, painless test that records the heart's electrical activity. It's the most useful test for diagnosing AF. An EKG shows how fast your heart is beating and its rhythm (steady or irregular). It also records the strength and timing of electrical signals as they pass through your heart. A standard EKG only records the heartbeat for a few seconds. It won't detect AF that doesn't happen during the test. To diagnose paroxysmal AF, your doctor may ask you to wear a portable EKG monitor that can record your heartbeat for longer periods. The two most common types of portable EKGs are Holter and event monitors. Holter and Event Monitors A Holter monitor records the heart's electrical activity for a full 24- or 48-hour period. You wear small patches called electrodes on your chest. Wires connect these patches to a small, portable recorder. The recorder can be clipped to a belt, kept in a pocket, or hung around your neck. You wear the Holter monitor while you do your normal daily activities. This allows the monitor to record your heart for a longer time than a standard EKG. An event monitor is similar to a Holter monitor. You wear an event monitor while doing your normal activities. However, an event monitor only records your heart's electrical activity at certain times while you're wearing it. For many event monitors, you push a button to start the monitor when you feel symptoms. Other event monitors start automatically when they sense abnormal heart rhythms. You can wear an event monitor for weeks or until symptoms occur. Stress Test Some heart problems are easier to diagnose when your heart is working hard and beating fast. During stress testing, you exercise to make your heart work hard and beat fast while heart tests are done. If you can't exercise, you may be given medicine to make your heart work hard and beat fast. Echocardiography Echocardiography (echo) uses sound waves to create a moving picture of your heart. The test shows the size and shape of your heart and how well your heart chambers and valves are working. Echo also can identify areas of poor blood flow to the heart, areas of heart muscle that aren't contracting normally, and previous injury to the heart muscle caused by poor blood flow. This test sometimes is called transthoracic (trans-thor-AS-ik) echocardiography. It's painless and noninvasive (no instruments are inserted into the body). For the test, a device called a transducer is moved back and forth over your chest. The device sends special sound waves through your chest wall to your heart. The sound waves bounce off the structures of your heart, and a computer converts them into pictures on a screen. Transesophageal Echocardiography Transesophageal (trans-e-SOF-ah-ge-al) echo, or TEE, uses sound waves to take pictures of your heart through the esophagus. The esophagus is the passage leading from your mouth to your stomach. Your heart's upper chambers, the atria, are deep in your chest. They often can't be seen very well using transthoracic echo. Your doctor can see the atria much better using TEE. During this test, the transducer is attached to the end of a flexible tube. The tube is guided down your throat and into your esophagus. You'll likely be given medicine to help you relax during the procedure. TEE is used to detect blood clots that may be forming in the atria because of AF. Chest X Ray A chest x ray is a painless test that creates pictures of the structures in your chest, such as your heart and lungs. This test can show fluid buildup in the lungs and signs of other AF complications. Blood Tests Blood tests check the level of thyroid hormone in your body and the balance of your body's electrolytes. Electrolytes are minerals that help maintain fluid levels and acid-base balance in the body. They're essential for normal health and functioning of your body's cells and organs.","Your doctor will diagnose atrial fibrillation (AF) based on your medical history, a physical exam, and test results. Your doctor may use one or more of the following tests: - EKG (electrocardiogram). An EKG is a simple, painless test that detects and records the heart's electrical activity. The test shows how fast the heart is beating and its rhythm (steady or irregular). An EKG also records the strength and timing of electrical signals as they pass through the heart. This test can show if AF has caused the heartbeat to become too fast or too slow. - Holter monitor. A holter monitor is a small device about the size of a pager that you wear for 24 hours. It records your heart's electrical activity continuously. You attach electrodes to the device with adhesive patches. These electrodes are attached to wires that connect to the device. The device then attaches to a belt around your waist. The belt connects to a recording unit worn like a watch. The device records your heart's electrical activity while you go about your normal activities. If you have an episode of AF during the day, it might not be recorded. However, the device will record any episodes that occur at night when you're sleeping. - Event recorder",15.917209421000052
