instruction,reference,prediction,latency_sec
How many people are affected by type 1 diabetes ?,"Type 1 diabetes occurs in 10 to 20 per 100,000 people per year in the United States. By age 18, approximately 1 in 300 people in the United States develop type 1 diabetes. The disorder occurs with similar frequencies in Europe, the United Kingdom, Canada, and New Zealand. Type 1 diabetes occurs much less frequently in Asia and South America, with reported incidences as low as 1 in 1 million per year. For unknown reasons, during the past 20 years the worldwide incidence of type 1 diabetes has been increasing by 2 to 5 percent each year. Type 1 diabetes accounts for 5 to 10 percent of cases of diabetes worldwide. Most people with diabetes have type 2 diabetes, in which the body continues to produce insulin but becomes less able to use it.","Type 1 diabetes is the most common form of diabetes in children and adolescents. It affects about 2 million Americans, including more than 500,000 children younger than age 18. Type 1 diabetes occurs worldwide but is more common among Caucasians than other ethnic groups. The prevalence of type 1 diabetes has increased over time; it was estimated to affect 4 per 100,000 persons in 1970 and now affects approximately 10 per 100,000 persons.",6.504057756999828
what research (or clinical trials) is being done for Leukemia ?,"Researchers are conducting clinical trials in many parts of the country. Clinical trials test an intervention such as a drug, therapy, medical device, or behavior in many people to see if it is safe and effective. Clinical trials already have led to advances, and researchers continue to search for more effective ways to treat and diagnose leukemia. They are studying various drugs, immunotherapy, targeted therapies, and other types of treatments. They are also studying the effectiveness of using combinations of treatments. Most importantly, researchers are gaining a greater understanding of the genes that are mutated in many types of leukemia and are developing targeted treatments to directly attack the mutations. One prime example is in acute myeloid leukemia (AML) where researchers have identified several genes that predict better or worse outcomes and are working to develop drugs targeted at these genes. Drug Research The drug imatinib (Gleevec) is important in the treatment of chronic myeloid leukemia. Imatinib targets an abnormal protein that is present in most leukemia cells. By blocking the abnormal protein, imatinib kills the leukemia cells, but it does not kill normal cells. However, imatinib stops working in some people with leukemia because the cells become resistant. Fortunately, two drugs, dasatinib (Sprycel) and nilotinib (Tasigna), are now used to treat people who stop responding to imatinib. These drugs work against the same abnormal protein targeted by imatinib, but in different ways. Immunotherapy Immunotherapy is a treatment that uses immune cells or antibodies to fight leukemia or stop it from getting worse. The idea is to zero in on leukemia cells so the treatment is less toxic to normal cells. Recently developed immunotherapies are showing real promise in a number of forms of leukemia. Vaccine Research Leukemia vaccines are not vaccines in the way that most people think of them. Unlike most vaccines, which help prevent diseases, leukemia vaccines are used to treat someone who already has cancer. A vaccine introduces a molecule called an antigen into the body. The immune system recognizes the antigen as a foreign invader and attacks it. Gene Therapy Gene therapy -- replacing, manipulating, or supplementing nonfunctional genes with healthy genes -- is being explored for treatment of leukemia. It is being studied as a way to stimulate a patient's immune system to kill leukemia cells and also to interfere with the production of proteins that cause cells to become cancerous. Learn more about ongoing leukemia research.","The National Cancer Institute's (NCI)'s mission is to lead the fight against cancer. The NCI conducts and supports a wide range of research on leukemia, including basic research that explores how cells develop into tumors and studies ways to prevent, detect, diagnose, treat, and ultimately cure leukemia. Clinical trials are studies that test new treatments in people with cancer. These studies help researchers learn whether their treatment works better than current standard treatments or if it causes fewer side effects. Clinical trials also provide information about how patients should be treated after they have finished therapy. Clinical trials may include participants who have already been diagnosed with cancer and others who have not. For more information about clinical trials, visit: http://www.cancer.gov/clinicaltrials/about-clinical-trials NIH Office of Communications and Public Liaison 31 Center Drive, Suite 402 MSC 0578 Bethesda, MD 20892-0578 Telephone: 301-496-4234 Fax: 301-496-5716 Email: publicaffairs@cc.nih.gov",13.144005419999303
What is (are) Shaken Baby Syndrome ?,"Shaken baby syndrome is a type of inflicted traumatic brain injury that happens when a baby is violently shaken. A baby has weak neck muscles and a large, heavy head. Shaking makes the fragile brain bounce back and forth inside the skull and causes bruising, swelling, and bleeding, which can lead to permanent, severe brain damage or death. The characteristic injuries of shaken baby syndrome are subdural hemorrhages (bleeding in the brain), retinal hemorrhages (bleeding in the retina), damage to the spinal cord and neck, and fractures of the ribs and bones. These injuries may not be immediately noticeable. Symptoms of shaken baby syndrome include extreme irritability, lethargy, poor feeding, breathing problems, convulsions, vomiting, and pale or bluish skin. Shaken baby injuries usually occur in children younger than 2 years old, but may be seen in children up to the age of 5.","Shaken baby syndrome (SBS) occurs when a child's head and body are violently shaken, causing brain damage. The shaking can be done by hand or with the help of another person. SBS usually happens to infants under 1 year old who have been abused. Symptoms include - Bleeding in the brain - Seizures - Loss of consciousness - Headaches - Vision problems - Hearing loss - Learning disabilities - Sleep disturbances - Developmental delays - Inability to walk - Problems with speech - Hallucinations - Delusions - Depression - Suicidal thoughts - Death",6.527722721000828
What are the complications of Neurological Complications of AIDS ?,"AIDS is primarily an immune system disorder caused by the human immunodeficiency virus (HIV), but it can also affect the nervous system. HIV does not appear to directly invade nerve cells but it jeopardizes their health and function, causing symptoms such as confusion, forgetfulness, behavioral changes, headaches, progressive weakness and loss of sensation in the arms and legs, cognitive motor impairment, or damage to the peripheral nerves. Other complications that can occur as a result of HIV infection or the drugs used to treat it include pain, seizures, shingles, spinal cord problems, lack of coordination, difficult or painful swallowing, anxiety disorder, depression, fever, vision loss, gait disorders, destruction of brain tissue, and coma. Other AIDS-related nervous system disorders may be caused by certain cancers or by illnesses that would not otherwise affect people with healthy immune systems. Among the most common neurological complications are: AIDS dementia complex, causing symptoms such as encephalitis (inflammation of the brain), behavioral changes, and a gradual decline in cognitive function; central nervous system lymphomas, cancerous tumors that either begin in the brain or result from a cancer that has spread from another site in the body; cryptococcal meningitis; cytomegalovirus infections; herpes virus infections; neuropathy; neurosyphilis; progressive multifocal leukoencephalopathy (PML); and psychological and neuropsychiatric disorders.","Neurological complications of HIV infection can be life-threatening. The most serious complication is opportunistic infections, which occur when a person's immune system becomes weakened and cannot fight off certain diseases or infections that would not normally affect people with healthy immune systems. Opportunistic infections include tuberculosis, toxoplasmosis, cytomegalovirus (CMV), Pneumocystis jirovecii pneumonia (PCP), and cryptococcal meningitis. Other neurological complications of HIV infection include peripheral neuropathy, encephalopathy, and myelopathy. Peripheral neuropathy occurs when nerve fibers in the body's extremities become damaged by HIV infection. Encephalopathy refers to brain dysfunction caused by HIV infection. Myelopathy describes damage to the spinal cord due to HIV infection.",9.231643667999379
What is (are) CHMP2B-related frontotemporal dementia ?,"CHMP2B-related frontotemporal dementia is a progressive brain disorder that affects personality, behavior, and language. The symptoms of this disorder usually become noticeable in a person's fifties or sixties, and affected people survive about 3 to 21 years after the appearance of symptoms. Changes in personality and behavior are the most common early signs of CHMP2B-related frontotemporal dementia. These changes include inappropriate emotional responses, restlessness, loss of initiative, and neglect of personal hygiene. Affected individuals may overeat sweet foods or place non-food items into their mouths (hyperorality). Additionally, it may become difficult for affected individuals to interact with others in a socially appropriate manner. They increasingly require help with personal care and other activities of daily living. Many people with CHMP2B-related frontotemporal dementia develop progressive problems with speech and language (aphasia). They may have trouble speaking, although they can often understand others' speech and written text. Affected individuals may also have difficulty using numbers (dyscalculia). In the later stages of the disease, many completely lose the ability to communicate. Several years after signs and symptoms first appear, some people with CHMP2B-related frontotemporal dementia develop problems with movement. These movement abnormalities include rigidity, tremors, uncontrolled muscle tensing (dystonia), and involuntary muscle spasms (myoclonus). As the disease progresses, most affected individuals become unable to walk.","CHMP2B-related frontotemporal dementia is a condition that causes progressive loss of nerve cells in the brain, particularly those involved with behavior and language. The signs and symptoms of this disorder usually begin in mid-adulthood. Affected individuals may have difficulty controlling their emotions or understanding others' feelings; they may also experience changes in personality, such as becoming more suspicious, aggressive, or selfish. They may develop problems with planning and organizing tasks, including paying bills, managing finances, and performing other daily activities. Some people with CHMP2B-related frontotemporal dementia have trouble speaking clearly, repeating words, or using appropriate social behaviors. Other features of this condition include involuntary jerking movements of the arms and legs (choreoathetoid movements), muscle stiffness (rigidity), and abnormal postures. These movement disorders are often present from early childhood.",10.095497320000504
How to diagnose Gerstmann-Straussler-Scheinker disease ?,"How is Gerstmann-Straussler-Scheinker disease diagnosed? The diagnosis of Gerstmann-Straussler-Scheinker disease (GSS) is based on a combination of the following: Characteristic signs and symptoms Nervous system findings including multiple amyloid plaques (clumps which form in the brain and cause the death of nerve cells and the progressive symptoms of the disease) A family history consistent with autosomal dominant inheritance Identification of a disease-causing mutation of the PRNP gene Genetic testing for at-risk relatives who do not yet have symptoms of GSS is possible if the disease-causing mutation in the family is known. This testing is not useful in predicting age of onset, severity, type of symptoms, or rate of progression. Testing for the disease-causing mutation in the absence of definite symptoms of the disease is called predictive testing.","What is the diagnosis of Gerstmann-Straussler-Scheinker disease? The diagnosis of GSS can be suspected in a person with symptoms such as: - difficulty learning new information or remembering things (dementia) - slurred speech - trouble writing and drawing - muscle weakness, especially in the legs - problems with coordination and balance - personality changes - abnormal eye movements A definitive diagnosis requires genetic testing.",4.693942074000006
What causes Prevent diabetes problems: Keep your heart and blood vessels healthy ?,"Narrowed blood vessels leave a smaller opening for blood to flow through. Having narrowed blood vessels is like turning on a garden hose and holding your thumb over the opening. The smaller opening makes the water shoot out with more pressure. In the same way, narrowed blood vessels lead to high blood pressure. Other factors, such as kidney problems and being overweight, also can lead to high blood pressure. Many people with diabetes also have high blood pressure. If you have heart, eye, or kidney problems from diabetes, high blood pressure can make them worse. You will see your blood pressure written with two numbers separated by a slash. For example, your reading might be 120/70, said as ""120 over 70."" For most people with diabetes, the target is to keep the first number below 140 and the second number below 80, unless their doctor sets a different target. If you have high blood pressure, ask your doctor how to lower it. Your doctor may ask you to take blood pressure medicine every day. Some types of blood pressure medicine can also help keep your kidneys healthy. You may also be able to control your blood pressure by - eating more fruits and vegetables - eating less salt and high-sodium foods - losing weight if you need to - being physically active - not smoking - limiting alcoholic drinks","The most common cause of heart disease is coronary artery disease (CAD). CAD occurs when plaque builds up in the walls of the arteries that supply oxygen-rich blood to the heart. Plaque is made up of fat, cholesterol, calcium, and other substances found in the blood. Over time, plaque hardens and narrows the arteries. This can reduce or block the flow of oxygen-rich blood to the heart muscle. If a clot forms on top of the plaque, it can completely block the flow of blood through an artery. When this happens, a heart attack may occur. Heart attacks are often caused by CAD. Other risk factors for heart disease include smoking, high blood pressure, high levels of triglycerides, obesity, physical inactivity, and uncontrolled diabetes. Coronary Artery Disease The most common type of heart disease is called coronary artery disease (CAD), also known as coro-nary heart disease. In CAD, plaque builds up inside the coronary arteries. These arteries carry oxygen-rich blood from the heart's main pumping chamber (the left ventricle) to the rest of the body. As the plaque builds up, the arteries narrow. Narrowed arteries cannot deliver enough oxygen-rich blood to the heart muscle. If the plaque ruptures, it can trigger a",14.35787273799906
Is congenital mirror movement disorder inherited ?,"In most cases, including those caused by mutations in the DCC or RAD51 gene, this condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the altered gene. Some people who have the altered gene never develop the condition, a situation known as reduced penetrance. Research suggests that in rare cases, this condition may be inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition.",2.464120605000062
What are the treatments for Benign multicystic peritoneal mesothelioma ?,How might benign multicystic peritoneal mesothelioma be treated? Surgery to remove the cystic lesions is the only effective treatment for BMPM. Aggressive surgical approaches are often recommended. Hormonal therapy has also been attempted in individual cases with variable degrees of success. Most affected individuals do not undergo chemotherapy and/or radiotherapy because these tumors are usually benign.,"How is benign multicystic peritoneal mesothelioma treated? Treatment of benign multicystic peritoneal mesothelioma (BMPCM) depends on several factors, including: - The size and number of cysts - The patient's age and overall health - Whether there are any symptoms present Treatment may include surgery to remove all or part of the affected area. Surgery can also be used to drain fluid from the abdomen. In some cases, chemotherapy may be recommended after surgery.",5.647121784000774
What are the treatments for What I need to know about Kidney Failure and How Its Treated ?,The treatments for kidney failure are - hemodialysis - peritoneal dialysis - a kidney transplant - conservative management,"Kidney failure is a serious condition that requires treatment. The goal of treatment is to keep your kidneys working as well as possible so you can live longer, feel better, and avoid complications. Treatment depends on how much kidney function you have left and whether you also have diabetes or high blood pressure. If you have only a little kidney function left, you may be treated with dialysis. Dialysis uses machines outside your body to filter waste from your blood. There are two types of dialysis: hemodialysis and peritoneal dialysis. Hemodialysis involves passing your blood through a machine called a dialyzer. Peritoneal dialysis uses your abdominal cavity (the space inside your abdomen) to filter your blood. You will learn more about these treatments in later sections. If you have no kidney function left, you may need a transplant. A kidney transplant replaces an unhealthy kidney with one from another person. The new kidney begins filtering your blood right away. However, it takes time for your body to accept the new organ. Your doctor will give you medicines to help your body accept the new kidney. You must take these medicines for life.",12.844945038999867
What are the symptoms of Bell's palsy ?,What are the symptoms of Bell's palsy?,"What are the signs and symptoms of Bell's palsy? The most common symptom of Bell's palsy is facial weakness or paralysis. This can range from mild to severe, depending on how much nerve damage has occurred in the facial muscles. Facial weakness may affect one side of your face only, but it can also involve both sides. Other symptoms include: Dry eye Discharge from the eyes Redness of the whites of the eyes Watery eyes Inability to close eyelids Properly on the affected side Drooling Difficulty smiling or frowning Problems with taste Loss of sense of smell (olfaction) Numbness around the mouth and nose",7.162442850998559
How many people are affected by Sandhoff disease ?,"Sandhoff disease is a rare disorder; its frequency varies among populations. This condition appears to be more common in the Creole population of northern Argentina; the Metis Indians in Saskatchewan, Canada; and people from Lebanon.",Sandhoff disease is a rare disorder; its prevalence is unknown. Approximately 100 cases have been reported worldwide.,1.4365966330005904
What causes Congenitally corrected transposition of the great arteries ?,"What causes congenitally corrected transposition of the great arteries? Currently the cause of congenitally corrected transposition of the great arteries is not known. Limited data suggests that air pollutants and hair dye may act as environmental risk factors for this rare defect. Also, having a family history of this heart defect is a risk factor. It has been estimated that the recurrence risk in siblings is around 3% to 5%.","What causes congenital heart defects? The exact cause of most congenital heart defects is unknown. However, researchers have identified a number of factors that may increase the risk for these conditions: Genetic syndromes Environmental toxins Premature birth Maternal age (under 18 or over 35) Smoking Infections during pregnancy (such as rubella and cytomegalovirus)",4.368698199999926
How to diagnose Atrial Fibrillation ?,"Atrial fibrillation (AF) is diagnosed based on your medical and family histories, a physical exam, and the results from tests and procedures. Sometimes AF doesn't cause signs or symptoms. Thus, it may be found during a physical exam or EKG (electrocardiogram) test done for another purpose. If you have AF, your doctor will want to find out what is causing it. This will help him or her plan the best way to treat the condition. Specialists Involved Primary care doctors often are involved in the diagnosis and treatment of AF. These doctors include family practitioners and internists. Doctors who specialize in the diagnosis and treatment of heart disease also may be involved, such as: Cardiologists. These are doctors who diagnose and treat heart diseases and conditions. Electrophysiologists. These are cardiologists who specialize in arrhythmias. Medical and Family Histories Your doctor will likely ask questions about your: Signs and symptoms. What symptoms are you having? Have you had palpitations? Are you dizzy or short of breath? Are your feet or ankles swollen (a possible sign of heart failure)? Do you have any chest pain? Medical history. Do you have other health problems, such as a history of heart disease, high blood pressure, lung disease, diabetes, or thyroid problems? Family's medical history. Does anyone in your family have a history of AF? Has anyone in your family ever had heart disease or high blood pressure? Has anyone had thyroid problems? Does your family have a history of other illnesses or health problems? Health habits. Do you smoke or use alcohol or caffeine? Physical Exam Your doctor will do a complete cardiac exam. He or she will listen to the rate and rhythm of your heartbeat and take your pulse and blood pressure reading. Your doctor will likely check for any signs of heart muscle or heart valve problems. He or she will listen to your lungs to check for signs of heart failure. Your doctor also will check for swelling in your legs or feet and look for an enlarged thyroid gland or other signs of hyperthyroidism (too much thyroid hormone). Diagnostic Tests and Procedures EKG An EKG is a simple, painless test that records the heart's electrical activity. It's the most useful test for diagnosing AF. An EKG shows how fast your heart is beating and its rhythm (steady or irregular). It also records the strength and timing of electrical signals as they pass through your heart. A standard EKG only records the heartbeat for a few seconds. It won't detect AF that doesn't happen during the test. To diagnose paroxysmal AF, your doctor may ask you to wear a portable EKG monitor that can record your heartbeat for longer periods. The two most common types of portable EKGs are Holter and event monitors. Holter and Event Monitors A Holter monitor records the heart's electrical activity for a full 24- or 48-hour period. You wear small patches called electrodes on your chest. Wires connect these patches to a small, portable recorder. The recorder can be clipped to a belt, kept in a pocket, or hung around your neck. You wear the Holter monitor while you do your normal daily activities. This allows the monitor to record your heart for a longer time than a standard EKG. An event monitor is similar to a Holter monitor. You wear an event monitor while doing your normal activities. However, an event monitor only records your heart's electrical activity at certain times while you're wearing it. For many event monitors, you push a button to start the monitor when you feel symptoms. Other event monitors start automatically when they sense abnormal heart rhythms. You can wear an event monitor for weeks or until symptoms occur. Stress Test Some heart problems are easier to diagnose when your heart is working hard and beating fast. During stress testing, you exercise to make your heart work hard and beat fast while heart tests are done. If you can't exercise, you may be given medicine to make your heart work hard and beat fast. Echocardiography Echocardiography (echo) uses sound waves to create a moving picture of your heart. The test shows the size and shape of your heart and how well your heart chambers and valves are working. Echo also can identify areas of poor blood flow to the heart, areas of heart muscle that aren't contracting normally, and previous injury to the heart muscle caused by poor blood flow. This test sometimes is called transthoracic (trans-thor-AS-ik) echocardiography. It's painless and noninvasive (no instruments are inserted into the body). For the test, a device called a transducer is moved back and forth over your chest. The device sends special sound waves through your chest wall to your heart. The sound waves bounce off the structures of your heart, and a computer converts them into pictures on a screen. Transesophageal Echocardiography Transesophageal (trans-e-SOF-ah-ge-al) echo, or TEE, uses sound waves to take pictures of your heart through the esophagus. The esophagus is the passage leading from your mouth to your stomach. Your heart's upper chambers, the atria, are deep in your chest. They often can't be seen very well using transthoracic echo. Your doctor can see the atria much better using TEE. During this test, the transducer is attached to the end of a flexible tube. The tube is guided down your throat and into your esophagus. You'll likely be given medicine to help you relax during the procedure. TEE is used to detect blood clots that may be forming in the atria because of AF. Chest X Ray A chest x ray is a painless test that creates pictures of the structures in your chest, such as your heart and lungs. This test can show fluid buildup in the lungs and signs of other AF complications. Blood Tests Blood tests check the level of thyroid hormone in your body and the balance of your body's electrolytes. Electrolytes are minerals that help maintain fluid levels and acid-base balance in the body. They're essential for normal health and functioning of your body's cells and organs.","A doctor diagnoses atrial fibrillation (AF) based on a medical history, physical exam, and test results. The doctor will ask about your symptoms, risk factors for AF, and any other health problems you have. Your doctor may also recommend tests to check the heart's electrical activity and structure. Medical History During an office visit, your doctor will ask about: - Your age and gender. - Your medical history, including past or present heart disease, high blood pressure, diabetes, thyroid disorders, and asthma. - Any medications you take, including over-the-counter drugs and supplements. - Whether you smoke, drink alcohol, or use illegal drugs. - Your family history of heart disease, stroke, or AF. Physical Exam During a physical exam, your doctor will listen to your heart with a stethoscope. He or she will also check your pulse and watch your face, lips, and skin for signs of cyanosis (bluish discoloration). Cyanosis occurs when there is not enough oxygen in the blood. Tests To Check Heart Function If you have AF, your doctor may order one or more tests to check how well your heart is working. These tests include: Echocardiogram An echocardiogram uses sound waves to create pictures of the heart.",14.342174630000954
